Designator,Mid X,Mid Y,Layer,Rotation
C1,150.495000,-107.315000,top,180.000000
C2,157.820000,-107.315000,top,90.000000
C3,165.100000,-45.720000,top,0.000000
C4,165.100000,-50.800000,top,0.000000
C5,165.100000,-55.880000,top,0.000000
C6,194.945000,-57.785000,top,-90.000000
C7,213.360000,-118.110000,top,0.000000
C8,204.470000,-123.190000,top,-90.000000
C9,189.230000,-123.190000,top,-90.000000
C10,173.990000,-123.190000,top,-90.000000
D1,145.415000,-37.710000,top,-90.000000
D2,151.130000,-61.595000,top,-90.000000
D3,145.415000,-60.960000,top,-90.000000
J1,176.840000,-36.830000,top,90.000000
J2,188.270000,-36.830000,top,90.000000
J3,198.430000,-36.830000,top,90.000000
J4,209.860000,-36.830000,top,90.000000
J5,154.940000,-46.640000,top,-90.000000
J6,214.630000,-123.190000,top,-90.000000
J7,199.390000,-123.190000,top,-90.000000
J8,184.135000,-123.190000,top,-90.000000
J9,168.910000,-123.190000,top,-90.000000
J10,210.820000,-68.570000,top,180.000000
J11,210.820000,-78.740000,top,0.000000
J13,162.560000,-113.035000,top,180.000000
J14,167.640000,-113.035000,top,180.000000
J15,171.450000,-113.035000,top,180.000000
J16,176.530000,-113.035000,top,180.000000
J17,180.340000,-113.035000,top,180.000000
Q1,204.790000,-116.507500,top,-90.000000
Q2,198.440000,-116.507500,top,-90.000000
Q3,192.090000,-116.507500,top,-90.000000
Q4,185.740000,-116.507500,top,-90.000000
R1,145.415000,-42.545000,top,90.000000
R2,145.415000,-55.880000,top,90.000000
R3,203.835000,-110.490000,top,-90.000000
R4,206.375000,-110.490000,top,-90.000000
R5,197.485000,-110.490000,top,-90.000000
R6,200.025000,-110.490000,top,-90.000000
R7,191.135000,-110.490000,top,-90.000000
R8,193.675000,-110.490000,top,-90.000000
R9,185.420000,-110.490000,top,-90.000000
R10,187.960000,-110.490000,top,-90.000000
SW1,160.020000,-62.865000,top,0.000000
U4,156.845000,-113.665000,top,-90.000000
U5,153.035000,-52.705000,top,180.000000
U100,0.0,0.0,top,0.0
U101,1.0,1.0,top,0.0
U200,2.0,2.0,top,0.0
U201,3.0,3.0,top,0.0
U202,4.0,4.0,top,0.0
U203,5.0,5.0,top,0.0
